quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label
2025Q4_PRE,1,1515.T,日鉄鉱業,鉱業,0.9254857142857144,122.76785714285717,34.86486486486486,17.18917808488174,24.12935323383085,0.917826733953935,30.810810810810807,83.33333333333334,100.0,65.0,1996.0,6276,140.77201447527142,16.2,16.2,26.3,16.2,16.2,medium,medium,low,low,low,"8240布EK
株伍指标
予想PER
（倍）
<26.3>
16.2
<27.3>
14.4
实PER
高值平均
11.5
安值平均
6.5
PBR
0-92
株佰(8/27)
82509
最低購人额
5
6.4
82万5000P
1515",49.png,0.4,0.5628095238095238,0.8996190476190475,業績急伸型
2025Q4_PRE,2,1384.T,ホクリヨウ,水産・農林業,0.9172190476190476,99.51219512195122,50.5521472392638,23.49732040032815,36.51477832512315,0.8786491911096682,21.141374837872895,83.33333333333334,95.11627906976744,100.0,2454.0,2721,149.89816700610996,8.6,8.6,26.3,8.6,8.6,medium,medium,low,low,low,"2217
株伍指标
予想PER
（倍）
<26.3>
8.6
<27.3>
9.0
实PER
高值平均
8.6
安值平均
5.2
PBR
1.21
株倡(8/27)
2
2085月
最低購人额
5
6.5
20万8500F
单弓特
1384
钟色",15.png,0.9166666666666666,0.5908095238095238,0.9607142857142856,業績急伸型
2025Q4_PRE,3,1893.T,五洋建設,建設業,0.9168380952380952,77.28447291452471,28.854013541993684,13.017969588383824,15.60452976153841,0.9057643222954471,8.589042768086475,75.0,97.32888146911519,95.0,1166.0,6276,94.30095774650181,11.8,11.8,26.3,11.8,11.8,medium,medium,low,low,low,"1112
株伍指标
予想PER
（倍）
<26.3>
11.8
<27.3>
11.4
实PER
高值平均
115.2
安值平均
91.2
PBR
1.73
株佰（8/27)
1070m
最低購人额
5
72
10万7000m
1893
建",149.png,0.6879699248120301,0.5764761904761905,0.9233809523809524,業績急伸型
2025Q4_PRE,4,1942.T,関電工,建設業,0.9065142857142858,73.55584082156612,19.8581560283688,10.993445943946806,14.607087827426813,0.9418639763385473,10.557661072008662,91.66666666666666,96.02272727272727,95.0,4056.0,6276,85.62929061784897,16.2,16.2,26.3,16.2,16.2,medium,medium,low,low,low,"3995
株伍指标
（倍）
予想PER
<26.3>
16.2
<27.3>
14.7
实PER
高值平均
12.1
安值平均
7.4
PBR
2.13
株倡(8/27)
3888
最低購人额
5
21
38万88009
1942
建",171.png,0.2631578947368421,0.5355714285714286,0.9133809523809524,中間型
2025Q4_PRE,5,1997.T,暁飯島工業,建設業,0.905295238095238,69.79316979316978,24.383368569415076,18.644177767655524,24.82541899441342,0.9485128585989507,14.614740368509215,83.33333333333334,98.74125874125875,45.0,3530.0,6535,112.26698737221889,9.1,9.1,25.8,9.1,9.1,medium,medium,low,low,low,"3275栋E校
株伍指标
予想PER
（倍）
<25.8>
9.1
<26-8>
8.2
实PER
高值平均
8.1
安值平均
6.1
PBR
0-87
株幅(8/27)
2
3155P
最低購人额
31万5500F
1997
建",204.png,0.868421052631579,0.44442857142857145,0.8464285714285713,業績急伸型
2025Q4_PRE,6,1909.T,日本ドライケミカル,機械,0.9006095238095237,86.3849765258216,55.078125,22.29172670967902,30.645161290322577,0.7910489334216275,24.746906636670417,66.66666666666666,98.0246913580247,100.0,7940.0,3616,145.06172839506172,9.5,9.5,26.3,9.5,9.5,medium,medium,low,low,low,"6290布E楼
株伍指标
予想PER
（倍）
<26.3>
9.5
<27.3>
9.3
实PER
高值平均
6.4
安值平均
3.6
PBR
1.57
株倡(8/27)
2
6230F
最低購人额
5
6.5
62万3000F
1909
概",156.png,0.8657142857142858,0.5871904761904763,0.9232857142857143,業績急伸型
2025Q4_PRE,7,247A.T,Ａｉロボティクス,化学,0.8934476190476192,162.82051282051282,39.21901528013583,35.59412033324423,47.39583333333333,0.9581351656320467,21.599999999999998,91.66666666666666,92.13483146067416,80.0,1640.0,350,224.75247524752479,27.4,17.4,26.3,17.4,17.4,medium,medium,low,low,low,"株伍指标
7820
（倍）
予想PER
<26.3>
27.4
<27.3>
17.4
实PER
高值平均
27.0
安值平均
14.1
PBR
27.10
株倡(8/27)
7680
最低購人额
5
6.8
76万80009
247A
化",390.png,0.15333333333333332,0.521952380952381,0.9346190476190476,業績急伸型
2025Q4_PRE,8,1803.T,清水建設,建設業,0.8914666666666667,67.2968624296058,28.642128054438597,16.153660643505727,20.066185318892906,0.9371194935192563,18.25262444971216,91.66666666666666,94.1376188320507,90.0,2079.5,6535,110.05050505050504,17.4,17.4,26.3,17.4,17.4,medium,medium,low,low,low,"株伍指标
962.5
予想PER
（倍）
<26.3>
17.4
<27.3>
16.3
实PER
高值平均
13.8
安值平均
9.2
PBR
1.51
株佰（8/27)
3
1920F
最低購人额
5
7.6
19万2000m
1803
建",103.png,0.19924812030075187,0.5324285714285714,0.9195238095238095,業績急伸型
2025Q4_PRE,9,2540.T,養命酒製造,食料品,0.8898285714285714,58.65966895438031,27.5974025974026,13.000659032643611,27.060653188180407,0.8907702803176698,13.116279069767444,100.0,96.20563035495717,85.0,3930.0,6276,76.86768676867686,47.8,1.16,26.3,1.16,1.16,medium,medium,low,low,low,"4085
株伍指标
（倍）
予想PER
<26.3>
47.8
<27.3>
47.3
实PER
高值平均
25.8
安值平均
22.9
PBR
1.16
株佰（8/27)
3825P9
最低購人额
5
1.5
38万2500F
2540
食",412.png,0.09183673469387756,0.38499999999999995,0.8877142857142858,業績急伸型
2025Q4_PRE,10,1980.T,ダイダン,建設業,0.8794666666666666,61.8300589767157,37.555550130208324,17.018888813035247,29.41176470588236,0.8080618634638292,23.425696587144785,83.33333333333334,95.23076189788304,90.0,2063.333251953125,6273,109.19229075837164,11.4,11.4,26.3,11.4,11.4,medium,medium,low,low,low,"株伍指标
5910E餐
予想PER
（倍）
<26.3>
11.4
<27.3>
11.2
实PER
高值平均
10.2
安值平均
5.7
PBR
2.26
株佰（8/27)
5710m
最低購人额
5
tL
57万1000P
1980
建",198.png,0.7180451127819549,0.5780000000000001,0.8993333333333333,業績急伸型
