quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,future_return_2024Q3_pct,selected_rank,selected
2024Q2_PRE,11,8766.T,東京海上ホールディングス,保険業,0.9348883131695792,71.13137646053008,29.894008219770708,12.362970880430664,14.888762122076438,0.8911175482307958,11.738484398216942,66.66666666666666,99.38761999337969,85.0,6005.0,6535,81.47476579026896,2024-06-30,2024-06-30,12.1,12.1,25.3,12.1,12.1,medium,medium,low,low,low,"株伍指标
5397
海正格
予想PER
（倍）
<25.3>
12.1
(26.3>
12.3
实PER
高值平均
14.0
安值平均
6'8
PBR
2.04
株倡(5/27)
2
53499
最低購人额
24
15.9
53万49009
F
8766
保",7355.png,0.8461538461538461,0.6563401360544218,0.9541480712045296,0.8410446054829117,-14.901578005531157,1,True
2024Q2_PRE,1,7721.T,東京計器,精密機器,0.9586553882957646,99.88770353733858,34.08662900188324,25.30561850531529,35.4759967453214,0.93250584815629,12.379730596536245,83.33333333333334,99.02642559109874,80.0,3560.0,6276,171.34146341463415,2024-06-30,2024-06-30,18.2,18.2,25.3,18.2,18.2,medium,medium,low,low,low,"3315E款
株伍指标
予想PER
（倍）
<25.3>
18.2
(26.3>
16.9
实PER
高值平均
21.4
安值平均
12.8
PBR
1.41
株幅(5/27)
3165F
最低購人额
24
6.5
31万6500F
7721
精",6920.png,0.5833333333333334,0.6871632653061225,0.96411522409726,0.8215014103148063,-11.950549450549453,2,True
2024Q2_PRE,36,1921.T,巴コーポレーション,建設業,0.9105935335266386,46.23287671232876,19.77559607293127,13.58653242199701,17.997097242380256,0.8703537853543988,9.736842105263154,66.66666666666666,98.04822043628016,80.0,854.0,6276,80.93220338983052,2024-06-30,2024-06-30,2.4,2.4,25.3,2.4,2.4,medium,medium,low,low,low,"766
株伍指标
予想PER
（倍）
<25.3>
2.4
(26.3>
11.0
实PER
高值平均
8.2
安值平均
5.1
PBR
0-62
株佰(5/27)
5
790P
最低購人额
24
6.0
7万9000P
速強特
1921
建",4116.png,1.0,0.5614285714285714,0.9194600298475406,0.8204364773977092,3.2786885245901676,3,True
2024Q2_PRE,20,7979.T,松風,精密機器,0.925387795096264,70.42971595047342,52.44299674267101,22.49110105815776,29.33333333333332,0.8062140907260509,14.970563498738432,83.33333333333334,96.49484536082474,100.0,2340.0,5038,101.98532585239532,2024-06-30,2024-06-30,16.1,16.1,25.3,16.1,16.1,medium,medium,low,low,low,"3370
株伍指标
予想PER
（倍）
<25.3>
16.1
(26.3>
13.7
实PER
高值平均
15.7
安值平均
9.4
PBR
1.49
株倡(5/27)
2
3485P
最低購人额
24
9.5
34万85009
速之特
7979
精",7076.png,0.6666666666666666,0.681938775510204,0.9595928514029456,0.8196920536663223,-2.3343848580441695,4,True
2024Q2_PRE,12,6371.T,椿本チエイン,機械,0.93488604238647,54.975130451259325,23.36633848607821,12.760369318171726,15.939279306586872,0.8408899379993882,10.34482727517333,83.33333333333334,99.6800078000003,80.0,2076.666748046875,6276,68.60623680537985,2024-06-30,2024-06-30,9.4,9.4,25.3,9.4,9.4,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.3>
9.4
(26.3>
10.3
实PER
高值平均
9.7
安值平均
7.0
PBR
0-81
株倡(5/27)
5870P
1磊
最低購人额
24
58万7000m
6371
1 水速于特
概
个8精工色",6165.png,0.8325581395348837,0.6054489795918367,0.9289279511477972,0.8187120315954362,-10.947867298578196,5,True
2024Q2_PRE,52,2349.T,エヌアイデイ,情報・通信業,0.8975606293905697,39.37263385613845,26.323529411764703,22.3632884781282,34.3939393939394,0.8959778039161751,19.72277227722772,75.0,96.84329199549042,70.0,2577.0,5734,59.07407407407408,2024-06-30,2024-06-30,12.8,12.8,25.3,12.8,12.8,medium,medium,low,low,low,"2661栋E楼
株伍指标
予想PER
（倍）
<25.3>
12.8
(26.3>
11.8
实PER
高值平均
10.5
安值平均
7.8
PBR
1.32
株倡(5/27)
2
23799
1万体
最低購人额
24
11.2
23万79009
2349
情
单横",4272.png,0.810405643738977,0.6615170068027211,0.9192843478164264,0.8173357429112091,-9.479409479409483,6,True
2024Q2_PRE,28,4275.T,カーリット,化学,0.9214540240483784,55.091103965702025,29.19642857142857,15.275467853583615,26.37457044673539,0.8261933173880901,11.653386454183268,75.0,98.36845683208702,90.0,1447.0,6276,67.09006928406467,2024-06-30,2024-06-30,10.0,10.0,25.3,10.0,10.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
10.0
(26.3>
9.7
实PER
高值平均
9.6
安值平均
6.2
PBR
0.76
株佰(5/27)
11889
wa15
最低購人额
24
11万88009
4275
少特
化",5204.png,0.8195121951219512,0.6129795918367347,0.9385734319857504,0.816525635630409,-21.290751829673983,7,True
2024Q2_PRE,78,4116.T,大日精化工業,化学,0.8869526238802543,33.59375,18.66759195003469,16.605888797946392,21.021465581051068,0.8679048398567076,13.148071339693068,66.66666666666666,97.1590909090909,95.0,3420.0,6276,66.66666666666667,2024-06-30,2024-06-30,5.2,5.2,25.3,5.2,5.2,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.3>
5.2
(26.3>
6°8
实PER
高值平均
14.3
安值平均
8'6
PBR
0.46
株倡(5/27)
3120m
最低購人额
24
3.2
31万2000m
4116
化",5120.png,0.9878048780487804,0.582843537414966,0.9077388414266088,0.8142424111332067,-12.134502923976608,8,True
2024Q2_PRE,23,8061.T,西華産業,卸売業,0.9236353223052968,47.48081822056432,21.76308876226756,18.67443896846097,20.79082320204204,0.9559349286219012,10.744807763850728,83.33333333333334,93.34741305429426,100.0,1473.3333740234375,6276,121.22122733084647,2024-06-30,2024-06-30,8.1,8.1,25.3,8.1,8.1,medium,medium,low,low,low,"株伍指标
4175
海正格
予想PER
（倍）
<25.3>
8.1
(26.3>
10.0
实PER
高值平均
8.6
安值平均
5.5
PBR
1.09
株佰(5/27)
3820m
最低購人额
24
11.6
38万2000F
8061
卸",7132.png,0.8258620689655173,0.5861360544217687,0.9490407607789986,0.8123703108810209,-10.067875786887448,9,True
2024Q2_PRE,8,3106.T,倉敷紡績,繊維製品,0.9452443402619624,68.23846412933648,45.83941605839416,20.837583464876207,27.44827586206897,0.8813760075083568,13.685847589424572,83.33333333333334,97.36842105263158,100.0,4995.0,6276,122.59358288770056,2024-06-30,2024-06-30,11.0,11.0,25.3,11.0,11.0,medium,medium,low,low,low,"4490布E校
株伍指标
予想PER
（倍）
<25.3>
11.0
<26.3>
10.9
实PER
高值平均
9.1
安值平均
6.0
PBR
89-0
株佰(5/27)
3
4435F
最低購人额
24
6.2
44万3500F
3106
绒",4573.png,0.6702127659574468,0.6015102040816326,0.9720047474624036,0.805669121645392,-2.7081243731193583,10,True
